"di_id","year","gdp.current.ncu"
"US","1981",6.61775e+12
"US","1982",6.491275e+12
"US","1983",6.792e+12
"US","1984",7.285025e+12
"US","1985",7.5938e+12
"US","1986",7.8605e+12
"US","1987",8.1326e+12
"US","1988",8.4745e+12
"US","1989",8.786375e+12
"US","1990",8.955025e+12
"US","1991",8.948425e+12
"US","1992",9.26655e+12
"US","1993",9.521e+12
"US","1994",9.90545e+12
"US","1995",1.017475e+13
"US","1996",1.0561e+13
"US","1997",1.103485e+13
"US","1998",1.1525875e+13
"US","1999",1.20659e+13
"US","2000",1.255965e+13
"US","2001",1.268225e+13
"US","2002",1.2908775e+13
"US","2003",1.32711e+13
"US","2004",1.3773475e+13
"US","2005",1.423425e+13
"US","2006",1.46138e+13
"US","2007",1.487375e+13
"US","2008",1.4830375e+13
"US","2009",1.441875e+13
"US","2010",1.47838e+13
"US","2011",1.5020575e+13
"US","2012",1.5354625e+13
"US","2013",1.5612175e+13
"US","2014",1.6013275e+13
"US","2015",1.6471525e+13
"US","2016",1.671615e+13
"US","2017",1.7096175e+13
"US","2018",1.7597658e+13
"US","2019",1.8065669e+13
"US","2020",1.8400668e+13
"US","2021",1.8713538e+13
"US","2022",1.8990259e+13
"US","2023",1.9253793e+13
"GB","1981",8.53046e+11
"GB","1982",8.70197e+11
"GB","1983",9.06936e+11
"GB","1984",9.2758e+11
"GB","1985",9.66495e+11
"GB","1986",9.96691e+11
"GB","1987",1.049581e+12
"GB","1988",1.109907e+12
"GB","1989",1.138425e+12
"GB","1990",1.146756e+12
"GB","1991",1.134296e+12
"GB","1992",1.138538e+12
"GB","1993",1.167308e+12
"GB","1994",1.2126e+12
"GB","1995",1.242548e+12
"GB","1996",1.274093e+12
"GB","1997",1.325543e+12
"GB","1998",1.367136e+12
"GB","1999",1.411112e+12
"GB","2000",1.462818e+12
"GB","2001",1.500034e+12
"GB","2002",1.536903e+12
"GB","2003",1.588019e+12
"GB","2004",1.625567e+12
"GB","2005",1.675896e+12
"GB","2006",1.717055e+12
"GB","2007",1.757521e+12
"GB","2008",1.749216e+12
"GB","2009",1.675963e+12
"GB","2010",1.704364e+12
"GB","2011",1.729121e+12
"GB","2012",1.754736e+12
"GB","2013",1.79075e+12
"GB","2014",1.845444e+12
"GB","2015",1.888737e+12
"GB","2016",1.925299e+12
"GB","2017",1.959707e+12
"GB","2018",1.991478e+12
"GB","2019",2.021704e+12
"GB","2020",2.052901e+12
"GB","2021",2.084764e+12
"GB","2022",2.11879e+12
"GB","2023",2.153633e+12
"AT","1981",1.60435e+11
"AT","1982",1.63495e+11
"AT","1983",1.6808e+11
"AT","1984",1.68638e+11
"AT","1985",1.72421e+11
"AT","1986",1.76457e+11
"AT","1987",1.79422e+11
"AT","1988",1.81146e+11
"AT","1989",1.88187e+11
"AT","1990",1.96365e+11
"AT","1991",2.03123e+11
"AT","1992",2.07376e+11
"AT","1993",2.08468e+11
"AT","1994",2.13476e+11
"AT","1995",2.19171e+11
"AT","1996",2.24428e+11
"AT","1997",2.29126e+11
"AT","1998",2.37332e+11
"AT","1999",2.45773e+11
"AT","2000",2.54069e+11
"AT","2001",2.57289e+11
"AT","2002",2.61538e+11
"AT","2003",2.64e+11
"AT","2004",2.71221e+11
"AT","2005",2.77307e+11
"AT","2006",2.86886e+11
"AT","2007",2.97579e+11
"AT","2008",3.01925e+11
"AT","2009",2.90559e+11
"AT","2010",2.95897e+11
"AT","2011",3.04545e+11
"AT","2012",3.06617e+11
"AT","2013",3.06696e+11
"AT","2014",3.09237e+11
"AT","2015",3.12614e+11
"AT","2016",3.17149e+11
"AT","2017",3.26352e+11
"AT","2018",3.34968e+11
"AT","2019",3.415e+11
"AT","2020",3.46623e+11
"AT","2021",3.51822e+11
"AT","2022",3.57099e+11
"AT","2023",3.62456e+11
"BE","1981",2.17832e+11
"BE","1982",2.19128e+11
"BE","1983",2.19811e+11
"BE","1984",2.25233e+11
"BE","1985",2.28953e+11
"BE","1986",2.33127e+11
"BE","1987",2.38504e+11
"BE","1988",2.49769e+11
"BE","1989",2.58434e+11
"BE","1990",2.66542e+11
"BE","1991",2.71428e+11
"BE","1992",2.75583e+11
"BE","1993",2.72932e+11
"BE","1994",2.81739e+11
"BE","1995",2.88458e+11
"BE","1996",2.93054e+11
"BE","1997",3.03927e+11
"BE","1998",3.09931e+11
"BE","1999",3.20975e+11
"BE","2000",3.32639e+11
"BE","2001",3.35337e+11
"BE","2002",3.41308e+11
"BE","2003",3.4395e+11
"BE","2004",3.56453e+11
"BE","2005",3.63919e+11
"BE","2006",3.73038e+11
"BE","2007",3.85905e+11
"BE","2008",3.88927e+11
"BE","2009",3.80163e+11
"BE","2010",3.90595e+11
"BE","2011",3.97621e+11
"BE","2012",3.98554e+11
"BE","2013",3.99353e+11
"BE","2014",4.0475e+11
"BE","2015",4.10436e+11
"BE","2016",4.16452e+11
"BE","2017",4.2356e+11
"BE","2018",4.31553e+11
"BE","2019",4.38829e+11
"BE","2020",4.45241e+11
"BE","2021",4.51896e+11
"BE","2022",4.58609e+11
"BE","2023",4.65497e+11
"DK","1981",1.0412e+12
"DK","1982",1.0795e+12
"DK","1983",1.1075e+12
"DK","1984",1.1537e+12
"DK","1985",1.1999e+12
"DK","1986",1.2587e+12
"DK","1987",1.2619e+12
"DK","1988",1.2618e+12
"DK","1989",1.2699e+12
"DK","1990",1.2886e+12
"DK","1991",1.3066e+12
"DK","1992",1.3322e+12
"DK","1993",1.3323e+12
"DK","1994",1.4033e+12
"DK","1995",1.4458e+12
"DK","1996",1.4878e+12
"DK","1997",1.5363e+12
"DK","1998",1.5703e+12
"DK","1999",1.6166e+12
"DK","2000",1.6772e+12
"DK","2001",1.691e+12
"DK","2002",1.6989e+12
"DK","2003",1.7055e+12
"DK","2004",1.751e+12
"DK","2005",1.792e+12
"DK","2006",1.8621e+12
"DK","2007",1.879e+12
"DK","2008",1.8694e+12
"DK","2009",1.7777e+12
"DK","2010",1.8109e+12
"DK","2011",1.8351e+12
"DK","2012",1.8393e+12
"DK","2013",1.8565e+12
"DK","2014",1.8865e+12
"DK","2015",1.9168e+12
"DK","2016",1.9545e+12
"DK","2017",1.9957e+12
"DK","2018",2.035742e+12
"DK","2019",2.075169e+12
"DK","2020",2.113353e+12
"DK","2021",2.15104e+12
"DK","2022",2.187696e+12
"DK","2023",2.225328e+12
"FR","1981",1.138754e+12
"FR","1982",1.16732e+12
"FR","1983",1.181985e+12
"FR","1984",1.200004e+12
"FR","1985",1.219483e+12
"FR","1986",1.248156e+12
"FR","1987",1.280325e+12
"FR","1988",1.340935e+12
"FR","1989",1.399309e+12
"FR","1990",1.440085e+12
"FR","1991",1.455049e+12
"FR","1992",1.478325e+12
"FR","1993",1.469268e+12
"FR","1994",1.503728e+12
"FR","1995",1.535082e+12
"FR","1996",1.556389e+12
"FR","1997",1.592767e+12
"FR","1998",1.649409e+12
"FR","1999",1.705606e+12
"FR","2000",1.771701e+12
"FR","2001",1.806328e+12
"FR","2002",1.826531e+12
"FR","2003",1.8415e+12
"FR","2004",1.892812e+12
"FR","2005",1.923243e+12
"FR","2006",1.968919e+12
"FR","2007",2.015415e+12
"FR","2008",2.019351e+12
"FR","2009",1.959955e+12
"FR","2010",1.998481e+12
"FR","2011",2.040034e+12
"FR","2012",2.043761e+12
"FR","2013",2.055538e+12
"FR","2014",2.075016e+12
"FR","2015",2.097166e+12
"FR","2016",2.122073e+12
"FR","2017",2.161243e+12
"FR","2018",2.206013e+12
"FR","2019",2.250669e+12
"FR","2020",2.290323e+12
"FR","2021",2.328499e+12
"FR","2022",2.366149e+12
"FR","2023",2.403644e+12
"DE","1981",1.549779e+12
"DE","1982",1.537565e+12
"DE","1983",1.561468e+12
"DE","1984",1.605597e+12
"DE","1985",1.640796e+12
"DE","1986",1.680459e+12
"DE","1987",1.705151e+12
"DE","1988",1.768849e+12
"DE","1989",1.838064e+12
"DE","1990",1.943265e+12
"DE","1991",2.04065e+12
"DE","1992",2.07162e+12
"DE","1993",2.05121e+12
"DE","1994",2.10316e+12
"DE","1995",2.14113e+12
"DE","1996",2.15961e+12
"DE","1997",2.20087e+12
"DE","1998",2.23975e+12
"DE","1999",2.28119e+12
"DE","2000",2.35387e+12
"DE","2001",2.39687e+12
"DE","2002",2.39758e+12
"DE","2003",2.38033e+12
"DE","2004",2.397e+12
"DE","2005",2.41803e+12
"DE","2006",2.5117e+12
"DE","2007",2.59634e+12
"DE","2008",2.61752e+12
"DE","2009",2.47191e+12
"DE","2010",2.56943e+12
"DE","2011",2.66495e+12
"DE","2012",2.68331e+12
"DE","2013",2.69939e+12
"DE","2014",2.75141e+12
"DE","2015",2.79279e+12
"DE","2016",2.8446e+12
"DE","2017",2.91611e+12
"DE","2018",2.990216e+12
"DE","2019",3.05035e+12
"DE","2020",3.096988e+12
"DE","2021",3.139073e+12
"DE","2022",3.179536e+12
"DE","2023",3.217973e+12
"SM","1981",
"SM","1982",
"SM","1983",
"SM","1984",
"SM","1985",
"SM","1986",
"SM","1987",
"SM","1988",
"SM","1989",
"SM","1990",
"SM","1991",
"SM","1992",
"SM","1993",
"SM","1994",
"SM","1995",
"SM","1996",
"SM","1997",1.116e+09
"SM","1998",1.2e+09
"SM","1999",1.308e+09
"SM","2000",1.337e+09
"SM","2001",1.411e+09
"SM","2002",1.416e+09
"SM","2003",1.471e+09
"SM","2004",1.538e+09
"SM","2005",1.575e+09
"SM","2006",1.636e+09
