"di_id","year","value","budget.type"
"AE","2000",,"actual"
"AE","2001",,"actual"
"AE","2002",,"actual"
"AE","2003",,"actual"
"AE","2004",,"actual"
"AE","2005",,"actual"
"AE","2006",,"actual"
"AE","2007",,"actual"
"AE","2008",,"actual"
"AE","2009",,"actual"
"AE","2010",,"actual"
"AE","2011",,"actual"
"AE","2012",46.2153416448124,"actual"
"AE","2013",46.2991645657696,"actual"
"AE","2014",42.3349839234725,"actual"
"AE","2015",28.6935119629132,"actual"
"AE","2016",26.0508206655467,"actual"
"AE","2017",27.149819525561,"proj"
"AE","2018",28.4665313121325,"proj"
"AF","2000",,"actual"
"AF","2001",,"actual"
"AF","2002",,"actual"
"AF","2003",2.95064809596651,"actual"
"AF","2004",5.0827464524739,"actual"
"AF","2005",5.72100278451932,"actual"
"AF","2006",8.73877428085402,"actual"
"AF","2007",10.7793709787893,"actual"
"AF","2008",12.0361227828669,"actual"
"AF","2009",12.3722061675747,"actual"
"AF","2010",17.5000068897665,"actual"
"AF","2011",23.8114957760477,"actual"
"AF","2012",23.7772973365793,"actual"
"AF","2013",23.4228271567267,"actual"
"AF","2014",20.9244856238322,"actual"
"AF","2015",25.2597228246277,"actual"
"AF","2016",28.4688749044144,"actual"
"AF","2017",33.1073686531088,"actual"
"AF","2018",33.0296018204687,"proj"
"AF","2019",35.2616936055315,"proj"
"AF","2020",37.4629019963997,"proj"
"AF","2021",42.5607131345549,"proj"
"AF","2022",48.5792759382484,"proj"
"AF","2023",55.4359279791084,"proj"
"AG","2000",13.4766432410087,"actual"
"AG","2001",15.59181897302,"actual"
"AG","2002",17.0757967269595,"actual"
"AG","2003",17.3406414941129,"actual"
"AG","2004",18.1298003072197,"actual"
"AG","2005",18.440996030314,"actual"
"AG","2006",19.4622279129321,"actual"
"AG","2007",21.5646059185467,"actual"
"AG","2008",21.8933177022274,"actual"
"AG","2009",20.3067689229743,"actual"
"AG","2010",23.1404958677686,"actual"
"AG","2011",22.0183486238532,"actual"
"AG","2012",23.7234042553191,"actual"
"AG","2013",21.4336408800568,"actual"
"AG","2014",22.9574611748818,"actual"
"AG","2015",28.2284231018819,"actual"
"AG","2016",29.2885740683708,"actual"
"AG","2017",24.4904076738609,"proj"
"AG","2018",,"proj"
"AG","2019",,"proj"
"AG","2020",,"proj"
"AL","2000",30.8149132445762,"actual"
"AL","2001",31.9693523115549,"actual"
"AL","2002",33.9270759736258,"actual"
"AL","2003",35.0801388660131,"actual"
"AL","2004",36.8145668916221,"actual"
"AL","2005",37.9602876990226,"actual"
"AL","2006",40.1980880512272,"actual"
"AL","2007",42.2419016386709,"actual"
"AL","2008",45.6475600766153,"actual"
"AL","2009",45.2752175567404,"actual"
"AL","2010",46.9545635498304,"actual"
"AL","2011",47.3245067647826,"actual"
"AL","2012",46.4061314940375,"actual"
"AL","2013",44.9841473658607,"actual"
"AL","2014",49.5354230380707,"actual"
"AL","2015",49.7868800765492,"actual"
"AL","2016",51.0846111060706,"actual"
"AL","2017",54.0344955409839,"proj"
"AL","2018",54.7466625029276,"proj"
"AL","2019",55.8250743805345,"proj"
"AL","2020",57.168787109638,"proj"
"AL","2021",58.3342500247779,"proj"
"AL","2022",59.2503960503927,"proj"
"AM","2000",,"actual"
"AM","2001",13.3945656333716,"actual"
"AM","2002",13.417079499882,"actual"
"AM","2003",13.2927973272765,"actual"
"AM","2004",14.4391842217061,"actual"
"AM","2005",15.2527039999001,"actual"
"AM","2006",18.3189858899301,"actual"
"AM","2007",21.0874474631697,"actual"
"AM","2008",23.1689158365497,"actual"
"AM","2009",23.9253216190775,"actual"
