"di_id","year","value","budget-type"
"AE",2000,,"actual"
"AE",2001,,"actual"
"AE",2002,,"actual"
"AE",2003,,"actual"
"AE",2004,,"actual"
"AE",2005,,"actual"
"AE",2006,,"actual"
"AE",2007,,"actual"
"AE",2008,,"actual"
"AE",2009,,"actual"
"AE",2010,,"actual"
"AE",2011,,"actual"
"AE",2012,0,"actual"
"AE",2013,0,"actual"
"AE",2014,0,"actual"
"AE",2015,0,"actual"
"AE",2016,0,"actual"
"AE",2017,0,"proj"
"AE",2018,0,"proj"
"AF",2000,,"actual"
"AF",2001,,"actual"
"AF",2002,,"actual"
"AF",2003,61.6581666012816,"actual"
"AF",2004,59.0157988070289,"actual"
"AF",2005,64.4789787706397,"actual"
"AF",2006,63.668430335097,"actual"
"AF",2007,55.3488372093023,"actual"
"AF",2008,61.5207373271889,"actual"
"AF",2009,55.7692307692308,"actual"
"AF",2010,49.7626582278481,"actual"
"AF",2011,48.2855536818437,"actual"
"AF",2012,59.823484267076,"actual"
"AF",2013,59.9117322545053,"actual"
"AF",2014,64.3112062812277,"actual"
"AF",2015,59.4226940942269,"actual"
"AF",2016,59.0301974448316,"actual"
"AF",2017,51.6249640494679,"actual"
"AF",2018,51.4672686230248,"proj"
"AF",2019,54.4227524704748,"proj"
"AF",2020,56.2315789473684,"proj"
"AF",2021,55.1169590643275,"proj"
"AF",2022,52.9780061004977,"proj"
"AF",2023,50.3958156629912,"proj"
"AG",2000,18.0904522613065,"actual"
"AG",2001,2.76797829036635,"actual"
"AG",2002,5.81947743467934,"actual"
"AG",2003,0.743667208924007,"actual"
"AG",2004,1.13089005235602,"actual"
"AG",2005,3.94736842105263,"actual"
"AG",2006,10.9809663250366,"actual"
"AG",2007,2.64550264550265,"actual"
"AG",2008,3.86100386100386,"actual"
"AG",2009,0,"actual"
"AG",2010,6.53120464441219,"actual"
"AG",2011,3.69181380417336,"actual"
"AG",2012,0.149253731343284,"actual"
"AG",2013,0,"actual"
"AG",2014,0.72992700729927,"actual"
"AG",2015,0,"actual"
"AG",2016,0,"actual"
"AG",2017,0,"proj"
"AG",2018,,"proj"
"AG",2019,,"proj"
"AG",2020,,"proj"
"AL",2000,4.37189237198753,"actual"
"AL",2001,2.63742265596367,"actual"
"AL",2002,2.65544041450777,"actual"
"AL",2003,1.56062424969988,"actual"
"AL",2004,1.41150922909881,"actual"
"AL",2005,3.04219823356232,"actual"
"AL",2006,2.12014134275618,"actual"
"AL",2007,0.523982265215639,"actual"
"AL",2008,1.44379511859746,"actual"
"AL",2009,1.47502514247402,"actual"
"AL",2010,1.43436233239788,"actual"
"AL",2011,1.14977307110439,"actual"
"AL",2012,1.69440242057489,"actual"
"AL",2013,1.76034589252625,"actual"
"AL",2014,2.75504637206765,"actual"
"AL",2015,2.96688741721854,"actual"
"AL",2016,3.62193004217316,"actual"
"AL",2017,3.12996144250397,"proj"
"AL",2018,3.5668242372153,"proj"
"AL",2019,3.57360406091371,"proj"
"AL",2020,3.58778625954198,"proj"
"AL",2021,3.28638497652582,"proj"
"AL",2022,3.31680629167379,"proj"
"AM",2000,,"actual"
"AM",2001,9.22693266832918,"actual"
"AM",2002,18.4968847352025,"actual"
"AM",2003,18.1094182825485,"actual"
"AM",2004,3.30494037478705,"actual"
"AM",2005,2.78488206876954,"actual"
"AM",2006,2.53562447611065,"actual"
"AM",2007,3.71541501976285,"actual"
"AM",2008,2.06651156425346,"actual"
"AM",2009,3.23367907260525,"actual"
"AM",2010,3.84091528193953,"actual"
"AM",2011,6.93828639904134,"actual"
"AM",2012,1.89313319144169,"actual"
