"di_id","year","budget.type","l1","l2","l3","l4","l5","l6","value","magnitude","child.value.sum","absdiff"
"GM",2020,"proj","total-expenditure",,,,,,22.823,1e+09,101.547,78.724
"GM",2020,"proj","total-expenditure",,,,,,24.56,1e+09,101.547,76.987
"GM",2020,"proj","total-revenue-and-grants",,,,,,21.616,1e+09,96.754,75.138
"GM",2020,"proj","total-expenditure",,,,,,26.655,1e+09,101.547,74.892
"GM",2020,"proj","total-expenditure",,,,,,27.511,1e+09,101.547,74.036
"GM",2020,"proj","total-revenue-and-grants",,,,,,23.113,1e+09,96.754,73.641
"GM",2020,"proj","total-revenue-and-grants",,,,,,25.241,1e+09,96.754,71.513
"GM",2020,"proj","total-revenue-and-grants",,,,,,26.782,1e+09,96.754,69.972
"LK",2007,"actual","financing",,,,,,-24.6929472,1e+10,40.7970432,65.4899904
"NP",2006,"actual","total-expenditure","recurrent-expenditure",,,,,67,1e+09,6.2,60.8
"NP",2005,"actual","total-expenditure","recurrent-expenditure",,,,,61.7,1e+09,6.2,55.5
"LK",2006,"actual","financing",,,,,,-23.50944,1e+10,30.85614,54.36558
"NP",2004,"actual","total-expenditure","recurrent-expenditure",,,,,55.6,1e+09,6.5,49.1
"GM",2020,"proj","total-revenue-and-grants","revenue",,,,,12.761,1e+09,61.159,48.398
"GM",2020,"proj","total-revenue-and-grants","revenue",,,,,14.425,1e+09,61.159,46.734
"BD",2008,"actual","total-revenue-and-grants","revenue","tax-revenue",,,,48.1,1e+10,2.3,45.8
"CM",2022,"proj","total-expenditure",,,,,,0,1e+11,45.67,45.67
"NP",2003,"actual","total-expenditure","recurrent-expenditure",,,,,52.1,1e+09,6.6,45.5
"UA",2003,"actual","total-expenditure","recurrent-expenditure",,,,,86.541,1e+09,41.13,45.411
"GM",2020,"proj","total-revenue-and-grants","revenue",,,,,16.186,1e+09,61.159,44.973
"GM",2020,"proj","total-revenue-and-grants","revenue",,,,,17.787,1e+09,61.159,43.372
"GM",2020,"proj","total-revenue-and-grants","revenue","tax-revenue",,,,11.307,1e+09,54.432,43.125
"CM",2021,"proj","total-expenditure",,,,,,0,1e+11,42.61,42.61
"GM",2020,"proj","total-revenue-and-grants","revenue","tax-revenue",,,,12.827,1e+09,54.432,41.605
"CM",2016,"actual","total-expenditure",,,,,,0,1e+11,40.44,40.44
"CM",2020,"proj","total-expenditure",,,,,,0,1e+11,40.27,40.27
"GM",2020,"proj","total-expenditure","recurrent-expenditure",,,,,11.481,1e+09,51.715,40.234
"GM",2020,"proj","total-revenue-and-grants","revenue","tax-revenue",,,,14.434,1e+09,54.432,39.998
"GM",2020,"proj","total-expenditure","recurrent-expenditure",,,,,12.353,1e+09,51.715,39.362
